Type	error	PC Date	PC Time	GPS date	gps time	latitude	longitude	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	 atm press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	Aux. H2Oflow	cond temp	dry box temp	deck box temp	Fluke Temp2	Oxygen	Saturation	Optode Temp	WB Pressure	O2_Cal_status
EQU	0	29/08/18	20:36:58	//	20:36:58	57.7921	10.6091	17.78	NaN	2283.70	409.87	207.04	1.39	35.40	1015.30	1012.05	-0.19	2.85	84.10	124.00	617.59	9.89	9.89	9.89	3.88	4.75	29.00	35.72	17.631	288.343	97.174	17.819	1015.63	1
EQU	0	29/08/18	20:38:30	//	20:38:30	57.7921	10.5966	17.78	NaN	2275.20	407.80	206.75	1.38	35.40	1015.30	1012.03	-0.22	2.86	83.15	124.00	1066.26	9.89	9.89	9.89	3.86	5.00	28.94	35.72	17.580	288.434	97.183	17.809	1015.65	1
EQU	0	29/08/18	20:40:03	//	20:40:03	57.7922	10.5840	17.74	NaN	2268.40	406.15	206.29	1.38	35.40	1015.30	1012.02	-0.16	2.85	84.05	124.00	1066.31	9.89	9.89	9.89	3.94	4.94	29.00	35.72	17.592	288.752	97.227	17.777	1015.62	1
EQU	0	29/08/18	20:41:36	//	20:41:36	57.7922	10.5713	17.76	NaN	2261.00	404.33	206.08	1.38	35.39	1015.30	1012.02	-0.19	2.86	83.84	124.00	1066.39	9.89	9.89	9.89	3.88	4.94	28.94	35.72	17.584	289.572	97.534	17.792	1015.64	1
EQU	0	29/08/18	20:43:09	//	20:43:09	57.7923	10.5588	17.67	NaN	2252.20	402.19	205.75	1.38	35.40	1015.30	1012.08	-0.09	2.88	83.10	124.00	1066.44	9.89	9.89	9.89	3.88	5.00	29.00	35.72	17.179	292.595	98.133	17.586	1015.63	1
EQU	0	29/08/18	20:44:41	//	20:44:41	57.7922	10.5463	17.32	NaN	2209.20	391.85	205.66	1.38	35.39	1015.30	1012.10	-0.18	2.86	83.89	124.00	1066.54	9.89	9.89	9.89	3.84	4.81	29.00	35.72	17.027	296.609	98.925	17.317	1015.62	1
EQU	0	29/08/18	20:46:14	//	20:46:14	57.7922	10.5337	17.21	NaN	2155.40	379.12	205.83	1.38	35.40	1015.30	1012.12	-0.22	2.85	84.58	124.00	1066.52	9.89	9.89	9.89	3.94	5.06	28.94	35.72	17.019	296.469	98.715	17.238	1015.67	1
EQU	0	29/08/18	20:47:47	//	20:47:47	57.7920	10.5212	17.20	NaN	2127.10	372.49	205.45	1.38	35.40	1015.30	1012.12	-0.26	2.84	84.79	124.00	1066.52	9.89	9.89	9.89	4.00	4.81	28.94	35.72	17.022	296.597	98.750	17.234	1015.65	1
EQU-DRAIN	0	29/08/18	20:49:20	//	20:49:20	57.7918	10.5087	17.20	NaN	2110.60	368.65	205.58	1.38	35.40	1015.30	1012.08	-0.28	2.84	83.52	124.00	1066.49	9.89	9.89	9.89	4.00	5.06	28.94	35.72	17.031	296.716	98.799	17.239	1015.66	1
EQU	0	29/08/18	20:51:13	//	20:51:13	57.7916	10.4935	17.21	NaN	2097.50	365.63	206.25	1.38	35.39	1015.30	1012.04	-0.30	2.86	83.52	124.00	1066.49	9.89	9.89	9.89	3.88	4.81	29.00	35.72	17.028	296.974	98.895	17.244	1015.57	1
EQU	0	29/08/18	20:52:46	//	20:52:46	57.7914	10.4809	17.21	NaN	2092.30	364.46	205.79	1.38	35.40	1015.20	1011.99	-0.23	2.84	85.54	124.00	1066.49	9.89	9.89	9.89	3.98	5.06	29.00	35.72	17.038	296.793	98.834	17.243	1015.59	1
EQU	0	29/08/18	20:54:19	//	20:54:19	57.7912	10.4682	17.22	NaN	2091.30	364.21	205.08	1.37	35.40	1015.30	1012.03	-0.20	2.85	82.84	124.00	1066.49	9.89	9.89	9.89	3.94	4.81	29.00	35.72	17.055	296.515	98.764	17.254	1015.57	1
EQU	0	29/08/18	20:55:52	//	20:55:52	57.7911	10.4556	17.24	NaN	2092.30	364.43	204.66	1.37	35.40	1015.30	1011.96	-0.17	2.83	83.10	124.00	1066.47	9.89	9.89	9.89	4.02	5.06	29.00	35.72	17.077	296.289	98.741	17.280	1015.57	1
EQU	0	29/08/18	20:57:25	//	20:57:25	57.7910	10.4430	17.26	NaN	2094.30	364.90	204.54	1.37	35.40	1015.30	1011.99	-0.21	2.83	83.36	124.00	1066.47	9.89	9.89	9.89	3.98	4.81	28.94	35.72	17.096	295.897	98.641	17.295	1015.58	1
EQU	0	29/08/18	20:58:58	//	20:58:57	57.7909	10.4305	17.27	NaN	2096.80	365.49	203.91	1.36	35.39	1015.20	1012.03	-0.21	2.83	84.79	124.00	1066.44	9.89	9.89	9.89	4.00	5.06	29.00	35.72	17.110	295.628	98.586	17.311	1015.53	1
EQU	0	29/08/18	21:00:30	//	21:00:30	57.7908	10.4179	17.30	NaN	2100.00	366.24	203.66	1.36	35.39	1015.20	1011.98	-0.25	2.84	84.69	124.00	1066.52	9.89	9.89	9.89	3.92	4.87	28.94	35.72	17.133	295.334	98.529	17.331	1015.50	1
EQU	0	29/08/18	21:02:03	//	21:02:03	57.7907	10.4052	17.32	NaN	2103.80	367.14	203.91	1.36	35.39	1015.10	1011.90	-0.24	2.84	84.63	124.00	1066.47	9.89	9.89	9.89	4.07	5.06	28.94	35.72	17.164	295.036	98.485	17.358	1015.51	1
EQU	0	29/08/18	21:03:36	//	21:03:36	57.7906	10.3926	17.33	NaN	2109.50	368.44	203.66	1.36	35.38	1015.20	1011.92	-0.18	2.85	81.85	124.00	1066.47	9.89	9.89	9.89	3.90	4.87	29.00	35.72	17.151	294.337	98.262	17.364	1015.48	1
EQU	0	29/08/18	21:05:09	//	21:05:09	57.7906	10.3799	17.32	NaN	2116.00	369.96	203.41	1.36	35.39	1015.20	1011.91	-0.33	2.83	83.58	124.00	1066.49	9.89	9.89	9.89	3.90	4.87	28.94	35.72	17.148	293.769	98.045	17.350	1015.47	1
EQU	0	29/08/18	21:06:42	//	21:06:42	57.7905	10.3673	17.33	NaN	2120.00	370.90	203.50	1.36	35.39	1015.20	1011.89	-0.28	2.84	84.63	124.00	1066.44	9.89	9.89	9.89	4.08	5.06	29.00	35.72	17.174	293.633	98.036	17.368	1015.45	1
EQU	0	29/08/18	21:08:14	//	21:08:14	57.7904	10.3547	17.35	NaN	2123.10	371.64	203.58	1.36	35.39	1015.10	1011.89	-0.12	2.83	83.68	124.00	1066.41	9.89	9.89	9.89	3.94	4.81	29.00	35.72	17.203	293.843	98.164	17.396	1015.46	1
EQU	0	29/08/18	21:09:47	//	21:09:47	57.7902	10.3421	17.38	NaN	2129.30	373.08	203.20	1.36	35.39	1015.10	1011.85	-0.18	2.85	83.21	124.00	1066.41	9.89	9.89	9.89	4.07	5.06	29.00	35.72	17.227	293.335	98.047	17.422	1015.44	1
EQU	0	29/08/18	21:11:21	//	21:11:20	57.7901	10.3294	17.40	NaN	2138.30	375.16	202.87	1.36	35.39	1015.20	1011.87	-0.15	2.86	84.37	124.00	997.59	9.89	9.89	9.89	4.00	4.81	29.00	35.72	17.240	293.332	98.078	17.438	1015.44	1
EQU	0	29/08/18	21:12:53	//	21:12:53	57.7900	10.3167	17.41	NaN	2145.30	376.81	202.79	1.36	35.39	1015.10	1011.90	-0.19	2.86	85.33	124.00	997.59	9.89	9.89	9.89	3.90	4.94	29.00	35.72	17.250	293.150	98.044	17.451	1015.46	1
EQU	0	29/08/18	21:14:26	//	21:14:25	57.7898	10.3041	17.42	NaN	2151.10	378.19	202.62	1.36	35.39	1015.10	1011.90	-0.25	2.83	83.00	124.00	1066.41	9.89	9.89	9.89	3.96	5.00	29.00	35.72	17.256	292.672	97.903	17.460	1015.49	1
EQU	0	29/08/18	21:15:58	//	21:15:58	57.7896	10.2914	17.43	NaN	2156.40	379.40	203.00	1.36	35.39	1015.20	1011.86	-0.13	2.83	82.37	124.00	1066.39	9.89	9.89	9.89	3.98	4.81	29.00	35.72	17.256	292.855	97.963	17.460	1015.48	1
EQU	0	29/08/18	21:17:31	//	21:17:31	57.7895	10.2786	17.42	NaN	2159.20	380.08	202.45	1.35	35.38	1015.10	1011.89	-0.19	2.85	84.79	124.00	1066.28	9.89	9.89	9.89	3.96	5.12	29.00	35.72	17.245	292.906	97.968	17.454	1015.41	1
EQU	0	29/08/18	21:19:04	//	21:19:04	57.7895	10.2657	17.41	NaN	2160.00	380.28	202.37	1.35	35.39	1015.10	1011.89	-0.16	2.85	83.42	124.00	1066.36	9.89	9.89	9.89	4.00	4.81	29.00	35.61	17.244	292.905	97.954	17.447	1015.39	1
EQU	0	29/08/18	21:20:37	//	21:20:36	57.7893	10.2530	17.42	NaN	2159.60	380.19	201.87	1.35	35.38	1015.10	1011.83	-0.19	2.85	84.58	124.00	1066.44	9.89	9.89	9.89	3.94	4.94	29.00	35.61	17.253	293.014	98.007	17.455	1015.40	1
EQU	0	29/08/18	21:22:09	//	21:22:09	57.7893	10.2401	17.42	NaN	2158.70	380.00	202.37	1.35	35.38	1015.10	1011.81	-0.19	2.85	84.37	124.00	1066.47	9.89	9.89	9.89	3.96	5.06	29.00	35.72	17.266	293.201	98.082	17.462	0.00	1
EQU	0	29/08/18	21:23:42	//	21:23:42	57.7892	10.2271	17.43	NaN	2157.30	379.69	201.70	1.35	35.40	1015.10	1011.80	-0.21	2.83	82.94	124.00	1066.41	9.89	9.89	9.89	3.94	4.81	28.94	35.61	17.280	293.523	98.213	17.473	1015.33	1
EQU	0	29/08/18	21:25:15	//	21:25:15	57.7892	10.2141	17.45	NaN	2154.40	378.99	201.58	1.35	35.39	1015.00	1011.79	-0.31	2.85	84.10	124.00	1066.28	9.89	9.89	9.89	3.80	5.06	28.94	35.72	17.280	294.194	98.462	17.485	1015.36	1
