Type	error	PC Date	PC Time	GPS date	gps time	latitude	longitude	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	 atm press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	Aux. H2Oflow	cond temp	dry box temp	deck box temp	Fluke Temp2	Oxygen	Saturation	Optode Temp	WB Pressure	O2_Cal_status
ATM	0	30/08/18	00:32:12	//	00:32:13	57.7664	8.7043	16.90	NaN	2246.30	399.45	199.45	1.33	34.15	1014.70	1011.38	-0.30	2.86	106.43	124.00	1064.64	9.89	9.89	9.89	3.86	4.81	27.81	33.83	16.707	297.947	98.548	16.919	1014.92	1
ATM	0	30/08/18	00:33:42	//	00:33:43	57.7662	8.6923	16.85	NaN	2246.30	399.45	200.75	1.34	34.14	1014.70	1011.31	-0.40	2.87	100.73	124.00	1064.64	9.89	9.89	9.89	3.98	4.87	27.81	33.83	16.687	298.315	98.585	16.878	1014.98	1
ATM	0	30/08/18	00:35:13	//	00:35:14	57.7660	8.6801	16.84	NaN	2246.80	399.57	201.45	1.34	34.12	1014.70	1011.40	-0.37	2.85	100.97	124.00	1064.64	9.89	9.89	9.89	3.65	4.94	27.75	33.83	16.694	298.234	98.545	16.871	1014.89	1
ATM	0	30/08/18	00:36:43	//	00:36:44	57.7659	8.6680	16.85	NaN	2247.40	399.74	200.91	1.34	34.11	1014.60	1011.27	-0.49	2.86	99.96	124.00	1064.61	9.89	9.89	9.89	3.46	4.81	27.75	33.83	16.706	298.282	98.592	16.886	1014.88	1
ATM	0	30/08/18	00:38:13	//	00:38:14	57.7657	8.6559	16.87	NaN	2248.40	399.93	200.45	1.33	34.09	1014.60	1011.24	-0.43	2.83	100.43	124.00	1064.58	9.89	9.89	9.89	4.43	4.81	27.81	33.83	16.723	298.239	98.612	16.903	1014.88	1
EQU	0	30/08/18	00:43:10	//	00:43:10	57.7650	8.6160	16.83	NaN	2052.50	354.03	203.12	1.35	34.05	1014.60	1011.17	-0.38	2.86	85.59	124.00	1064.51	9.89	9.89	9.89	3.84	5.00	27.75	33.62	16.680	298.290	98.544	16.862	1014.84	1
EQU	0	30/08/18	00:44:43	//	00:44:43	57.7648	8.6035	16.83	NaN	2050.30	353.52	203.29	1.35	34.03	1014.60	1011.10	-0.43	2.87	85.75	124.00	1064.51	9.89	9.89	9.89	3.90	4.87	27.75	33.62	16.686	298.197	98.522	16.866	1014.82	1
EQU	0	30/08/18	00:46:15	//	00:46:16	57.7646	8.5910	16.83	NaN	2047.60	352.89	203.00	1.35	34.01	1014.60	1011.28	-0.40	2.85	85.01	124.00	1064.40	9.89	9.89	9.89	4.29	4.81	27.75	33.62	16.658	298.437	98.581	16.856	1014.88	1
EQU	0	30/08/18	00:47:48	//	00:47:48	57.7645	8.5787	16.80	NaN	2048.90	353.13	203.12	1.35	33.99	1014.70	1011.26	-0.31	2.84	84.85	124.00	883.44	9.89	9.89	9.89	3.94	4.94	27.69	33.62	16.632	298.523	98.546	16.826	1014.87	1
EQU-DRAIN	0	30/08/18	00:49:20	//	00:49:21	57.7642	8.5663	16.80	NaN	2051.60	353.74	202.29	1.35	33.98	1014.70	1011.38	-0.48	2.85	83.84	124.00	648.47	9.89	9.89	9.89	4.15	4.87	27.75	33.62	16.642	98.519	16.832	260.000	1014.92	1
EQU	0	30/08/18	00:51:14	//	00:51:15	57.7640	8.5510	16.79	NaN	2050.90	353.59	202.12	1.35	33.97	1014.60	1011.25	-0.46	2.86	83.94	124.00	258.59	9.89	9.89	9.89	3.88	5.00	27.62	33.52	16.636	298.616	98.556	16.816	1014.86	1
EQU	0	30/08/18	00:52:46	//	00:52:47	57.7638	8.5387	16.79	NaN	2052.20	353.86	201.95	1.34	33.95	1014.60	1011.29	-0.38	2.85	83.26	124.00	-55.19	9.89	9.89	9.89	3.94	4.81	27.69	33.52	16.610	298.371	98.473	16.814	1014.83	1
EQU	0	30/08/18	00:54:19	//	00:54:20	57.7636	8.5263	16.79	NaN	2055.10	354.51	201.41	1.34	33.94	1014.60	1011.25	-0.38	2.85	85.38	124.00	-55.25	9.89	9.89	9.89	3.88	4.81	27.69	33.52	16.659	298.710	98.617	16.830	1014.84	1
EQU	0	30/08/18	00:55:52	//	00:55:52	57.7635	8.5139	16.80	NaN	2057.80	355.07	200.62	1.34	33.93	1014.70	1011.18	-0.52	2.85	84.79	124.00	-55.24	9.89	9.89	9.89	3.93	4.94	27.62	33.52	16.636	298.465	98.533	16.828	1014.84	1
EQU	0	30/08/18	00:57:24	//	00:57:25	57.7633	8.5015	16.78	NaN	2060.30	355.64	200.87	1.34	33.91	1014.60	1011.27	-0.41	2.85	83.73	124.00	-55.23	9.89	9.89	9.89	4.02	5.00	27.62	33.41	16.615	298.631	98.544	16.807	1014.84	1
EQU	0	30/08/18	00:58:57	//	00:58:58	57.7631	8.4890	16.75	NaN	2062.70	356.18	200.33	1.33	33.89	1014.60	1011.29	-0.42	2.86	84.37	124.00	-55.25	9.89	9.89	9.89	4.04	4.81	27.62	33.41	16.570	298.854	98.559	16.779	1014.87	1
EQU	0	30/08/18	01:00:30	//	01:00:30	57.7630	8.4767	16.70	NaN	2065.30	356.75	200.75	1.34	33.88	1014.60	1011.31	-0.39	2.85	84.63	124.00	-55.04	9.89	9.89	9.89	3.94	4.81	27.62	33.41	16.504	299.467	98.634	16.718	0.00	1
EQU	0	30/08/18	01:02:04	//	01:02:04	57.7628	8.4641	16.63	NaN	2065.60	356.79	200.91	1.34	33.87	1014.60	1011.26	-0.46	2.86	84.47	124.00	-51.81	9.89	9.89	9.89	3.84	4.94	27.62	33.41	16.441	300.073	98.695	16.651	1014.90	1
EQU	0	30/08/18	01:03:36	//	01:03:37	57.7627	8.4517	16.59	NaN	2064.20	356.47	200.45	1.33	33.85	1014.60	1011.38	-0.38	2.85	84.74	124.00	-41.76	9.89	9.89	9.89	4.02	5.00	27.62	33.41	16.404	300.411	98.723	16.611	1014.87	1
EQU	0	30/08/18	01:05:09	//	01:05:10	57.7625	8.4393	16.55	NaN	2062.10	355.96	201.16	1.34	33.85	1014.60	1011.35	-0.35	2.85	84.69	124.00	-42.09	9.89	9.89	9.89	3.98	4.87	27.56	33.31	16.368	300.994	98.821	16.566	1014.87	1
EQU	0	30/08/18	01:06:42	//	01:06:42	57.7623	8.4270	16.52	NaN	2059.60	355.36	200.70	1.34	33.84	1014.70	1011.35	-0.46	2.85	85.06	124.00	-46.40	9.89	9.89	9.89	3.88	4.75	27.62	33.41	16.327	300.903	98.744	16.543	1014.93	1
EQU	0	30/08/18	01:08:14	//	01:08:15	57.7622	8.4144	16.47	NaN	2055.90	354.51	200.20	1.33	33.82	1014.70	1011.30	-0.36	2.86	83.79	124.00	-46.19	9.89	9.89	9.89	3.98	4.94	27.56	33.41	16.306	301.258	98.767	16.498	1014.88	1
EQU	0	30/08/18	01:09:47	//	01:09:48	57.7621	8.4019	16.47	NaN	2051.20	353.43	200.62	1.33	33.81	1014.70	1011.36	-0.48	2.85	84.42	124.00	-47.31	9.89	9.89	9.89	3.94	5.06	27.62	33.31	16.306	301.029	98.691	16.498	1014.92	1
EQU	0	30/08/18	01:11:20	//	01:11:20	57.7621	8.3895	16.45	NaN	2048.50	352.82	201.29	1.34	33.79	1014.60	1011.31	-0.37	2.86	86.29	124.00	-54.78	9.89	9.89	9.89	3.80	4.81	27.56	33.31	16.270	300.402	98.438	16.475	1014.88	1
EQU	0	30/08/18	01:12:53	//	01:12:53	57.7621	8.3770	16.42	NaN	2045.20	352.07	201.41	1.34	33.79	1014.60	1011.28	-0.40	2.84	84.37	124.00	-54.54	9.89	9.89	9.89	4.00	4.87	27.56	33.31	16.219	300.768	98.485	16.440	1014.84	1
EQU	0	30/08/18	01:14:25	//	01:14:25	57.7621	8.3645	16.36	NaN	2039.00	350.69	201.37	1.34	33.78	1014.60	1011.30	-0.50	2.84	84.53	124.00	-47.51	9.89	9.89	9.89	3.92	5.00	27.56	33.31	16.176	301.674	98.667	16.385	1014.80	1
EQU	0	30/08/18	01:15:57	//	01:15:58	57.7621	8.3518	16.38	NaN	2030.40	348.74	200.91	1.34	33.77	1014.60	1011.34	-0.42	2.83	84.26	124.00	44.33	9.89	9.89	9.89	4.08	4.94	27.56	33.31	16.398	300.828	98.541	16.458	1014.83	1
EQU	0	30/08/18	01:17:30	//	01:17:31	57.7620	8.3390	16.65	NaN	2029.10	348.38	201.54	1.34	33.75	1014.60	1011.15	-0.44	2.85	85.11	124.00	44.73	9.89	9.89	9.89	3.98	4.75	27.62	33.31	16.609	298.932	98.452	16.715	1014.85	1
EQU	0	30/08/18	01:19:03	//	01:19:03	57.7619	8.3264	16.77	NaN	2034.40	349.61	201.25	1.34	33.74	1014.60	1011.28	-0.37	2.85	85.01	124.00	35.29	9.89	9.89	9.89	4.10	4.94	27.56	33.31	16.686	297.739	98.290	16.827	1014.87	1
EQU	0	30/08/18	01:20:35	//	01:20:36	57.7618	8.3136	16.83	NaN	2036.60	350.05	201.41	1.34	33.74	1014.70	1011.30	-0.43	2.86	86.08	124.00	-41.43	9.89	9.89	9.89	3.88	5.06	27.62	33.20	16.753	296.900	98.135	16.886	1014.86	1
EQU	0	30/08/18	01:22:08	//	01:22:09	57.7618	8.3008	16.91	NaN	2035.70	349.88	201.50	1.34	33.73	1014.60	1011.35	-0.44	2.85	84.37	124.00	-18.93	9.89	9.89	9.89	3.92	4.94	27.56	33.31	16.793	296.450	98.126	16.954	1014.87	1
EQU	0	30/08/18	01:23:41	//	01:23:41	57.7619	8.2880	16.94	NaN	2036.30	349.99	201.00	1.34	33.72	1014.60	1011.38	-0.49	2.85	83.36	124.00	-27.40	9.89	9.89	9.89	3.96	5.06	27.56	33.20	16.806	296.122	98.061	16.976	1014.95	1
EQU	0	30/08/18	01:25:13	//	01:25:14	57.7620	8.2752	16.96	NaN	2037.50	350.22	200.50	1.33	33.71	1014.60	1011.33	-0.44	2.85	86.67	124.00	-37.83	9.89	9.89	9.89	3.68	4.81	27.56	33.20	16.820	296.174	98.108	16.990	1014.88	1
EQU	0	30/08/18	01:26:46	//	01:26:47	57.7621	8.2623	16.96	NaN	2039.90	350.78	201.04	1.34	33.70	1014.60	1011.28	-0.44	2.86	84.74	124.00	-55.19	9.89	9.89	9.89	4.02	4.81	27.56	33.20	16.817	296.147	98.100	16.990	1014.86	1
EQU	0	30/08/18	01:28:19	//	01:28:19	57.7622	8.2495	16.95	NaN	2041.80	351.20	201.12	1.34	33.68	1014.60	1011.23	-0.42	2.86	83.63	124.00	-50.73	9.89	9.89	9.89	3.94	4.94	27.50	33.20	16.799	296.241	98.120	16.985	1014.87	1
EQU	0	30/08/18	01:29:51	//	01:29:52	57.7623	8.2367	16.93	NaN	2043.30	351.51	201.20	1.34	33.67	1014.60	1011.23	-0.49	2.86	85.27	124.00	-49.93	9.89	9.89	9.89	3.88	5.00	27.56	33.20	16.753	296.938	98.284	16.953	1014.89	1
EQU	0	30/08/18	01:31:24	//	01:31:25	57.7625	8.2239	16.89	NaN	2044.00	351.66	201.08	1.34	33.67	1014.60	1011.26	-0.48	2.85	85.22	124.00	-53.71	9.89	9.89	9.89	3.88	4.81	27.56	33.20	16.742	296.993	98.238	16.921	1014.87	1
EQU	0	30/08/18	01:32:56	//	01:32:57	57.7627	8.2111	16.87	NaN	2043.10	351.47	201.12	1.34	33.66	1014.60	1011.30	-0.46	2.84	82.84	124.00	-50.15	9.89	9.89	9.89	3.84	4.75	27.56	33.20	16.703	297.307	98.298	16.900	1014.85	1
EQU	0	30/08/18	01:34:29	//	01:34:30	57.7629	8.1983	16.83	NaN	2042.40	351.31	200.91	1.34	33.65	1014.60	1011.29	-0.45	2.84	84.05	124.00	-50.82	9.89	9.89	9.89	3.98	4.94	27.56	33.20	16.646	297.322	98.208	16.854	1014.86	1
EQU	0	30/08/18	01:36:02	//	01:36:02	57.7630	8.1856	16.81	NaN	2040.60	350.85	201.37	1.34	33.65	1014.70	1011.32	-0.46	2.87	84.32	124.00	-49.84	9.89	9.89	9.89	3.98	5.00	27.56	33.10	16.700	297.205	98.171	16.855	1014.87	1
EQU	0	30/08/18	01:37:34	//	01:37:35	57.7631	8.1728	16.84	NaN	2040.20	350.74	201.62	1.34	33.64	1014.70	1011.24	-0.52	2.86	84.47	124.00	-53.64	9.89	9.89	9.89	3.39	4.81	27.50	33.10	16.703	297.542	98.326	16.876	1014.89	1
EQU	0	30/08/18	01:39:07	//	01:39:08	57.7632	8.1599	16.85	NaN	2040.10	350.75	201.83	1.34	33.63	1014.60	1011.30	-0.50	2.86	83.79	124.00	-53.12	9.89	9.89	9.89	3.86	4.94	27.50	33.20	16.717	297.452	98.323	16.889	1014.85	1
EQU	0	30/08/18	01:40:40	//	01:40:40	57.7631	8.1471	16.85	NaN	2039.90	350.71	201.37	1.34	33.62	1014.60	1011.25	-0.49	2.84	85.86	124.00	-53.61	9.89	9.89	9.89	3.76	4.87	27.50	33.10	16.717	297.354	98.298	16.893	1014.83	1
EQU	0	30/08/18	01:42:12	//	01:42:13	57.7630	8.1342	16.86	NaN	2039.80	350.69	201.45	1.34	33.61	1014.50	1011.25	-0.46	2.85	85.54	124.00	-52.75	9.89	9.89	9.89	4.07	4.75	27.50	33.10	16.736	297.236	98.272	16.899	1014.77	1
EQU	0	30/08/18	01:43:45	//	01:43:46	57.7630	8.1212	16.89	NaN	2039.80	350.68	201.25	1.34	33.60	1014.50	1011.18	-0.49	2.86	85.43	124.00	245.06	9.89	9.89	9.89	3.84	4.81	27.44	33.10	16.726	297.535	98.409	16.917	1014.81	1
EQU	0	30/08/18	01:45:17	//	01:45:18	57.7629	8.1084	16.86	NaN	2040.40	350.80	201.08	1.34	33.59	1014.50	1011.19	-0.52	2.87	84.32	124.00	616.92	9.89	9.89	9.89	3.82	5.00	27.50	33.10	16.712	297.644	98.390	16.891	1014.75	1
EQU	0	30/08/18	01:46:50	//	01:46:51	57.7628	8.0954	16.87	NaN	2039.80	350.66	202.04	1.34	33.58	1014.50	1011.17	-0.52	2.85	84.85	124.00	989.13	9.89	9.89	9.89	3.72	4.94	27.50	33.10	16.747	297.569	98.412	16.913	1014.79	1
EQU	0	30/08/18	01:48:24	//	01:48:25	57.7627	8.0820	16.89	NaN	2039.40	350.56	201.83	1.34	33.58	1014.50	1011.18	-0.44	2.85	85.33	124.00	1063.85	9.89	9.89	9.89	3.76	4.81	27.50	33.10	16.740	297.535	98.410	16.918	1014.79	1
EQU-DRAIN	0	30/08/18	01:49:57	//	01:49:57	57.7626	8.0691	16.88	NaN	2038.40	350.35	201.75	1.34	33.57	1014.50	1011.24	-0.52	2.84	84.53	124.00	1063.85	9.89	9.89	9.89	3.88	4.81	27.56	33.10	16.728	297.860	98.512	16.915	1014.84	1
EQU	0	30/08/18	01:51:50	//	01:51:51	57.7623	8.0531	16.86	NaN	2037.90	350.17	202.33	1.35	33.56	1014.60	1011.20	-0.46	2.85	85.81	124.00	1063.85	9.89	9.89	9.89	3.78	4.81	27.50	33.10	16.705	297.642	98.388	16.890	1014.80	1
EQU	0	30/08/18	01:53:24	//	01:53:25	57.7621	8.0398	16.84	NaN	2036.60	349.91	202.20	1.34	33.56	1014.60	1011.23	-0.46	2.85	86.02	124.00	1063.77	9.89	9.89	9.89	3.90	4.81	27.50	33.10	16.693	297.859	98.424	16.873	1014.81	1
EQU	0	30/08/18	01:54:57	//	01:54:58	57.7619	8.0266	16.83	NaN	2034.90	349.51	202.75	1.35	33.55	1014.60	1011.16	-0.37	2.85	83.58	124.00	620.56	9.89	9.89	9.89	4.17	4.94	27.50	33.10	16.672	297.888	98.420	16.866	1014.77	1
EQU	0	30/08/18	01:56:29	//	01:56:30	57.7617	8.0137	16.82	NaN	2032.90	349.08	202.58	1.35	33.55	1014.50	1011.07	-0.47	2.85	85.97	124.00	248.16	9.89	9.89	9.89	3.39	5.06	27.50	33.10	16.666	297.996	98.425	16.851	1014.76	1
EQU	0	30/08/18	01:58:02	//	01:58:03	57.7615	8.0006	16.81	NaN	2031.50	348.78	202.25	1.35	33.54	1014.50	1011.19	-0.46	2.85	84.16	124.00	-50.25	9.89	9.89	9.89	4.04	4.87	27.50	33.10	16.653	298.094	98.425	16.836	1014.78	1
EQU	0	30/08/18	01:59:35	//	01:59:35	57.7613	7.9877	16.80	NaN	2030.40	348.49	202.75	1.35	33.53	1014.50	1011.12	-0.35	2.85	85.06	124.00	-50.69	9.89	9.89	9.89	3.98	5.06	27.50	33.10	16.658	298.083	98.420	16.835	1014.78	1
EQU	0	30/08/18	02:01:07	//	02:01:08	57.7611	7.9745	16.80	NaN	2029.70	348.34	202.20	1.34	33.53	1014.50	1011.16	-0.40	2.84	84.16	124.00	-44.40	9.89	9.89	9.89	3.90	4.87	27.44	33.10	16.654	298.414	98.531	16.836	1014.77	1
EQU	0	30/08/18	02:02:40	//	02:02:41	57.7609	7.9613	16.80	NaN	2029.90	348.38	202.20	1.34	33.52	1014.50	1011.17	-0.46	2.85	85.01	124.00	-44.39	9.89	9.89	9.89	3.98	4.81	27.44	33.10	16.670	297.831	98.346	16.840	1014.76	1
EQU	0	30/08/18	02:04:14	//	02:04:15	57.7608	7.9481	16.82	NaN	2030.90	348.56	202.29	1.35	33.51	1014.50	1011.26	-0.40	2.85	84.37	124.00	-49.29	9.89	9.89	9.89	3.68	4.94	27.44	32.99	16.670	298.203	98.491	16.850	1014.80	1
EQU	0	30/08/18	02:05:47	//	02:05:47	57.7606	7.9351	16.81	NaN	2031.50	348.71	201.91	1.34	33.51	1014.50	1010.99	-0.49	2.86	85.43	124.00	-19.78	9.89	9.89	9.89	4.17	5.00	27.44	32.99	16.647	297.971	98.390	16.838	1014.77	1
EQU	0	30/08/18	02:07:19	//	02:07:20	57.7604	7.9219	16.78	NaN	2031.30	348.67	202.50	1.35	33.50	1014.50	1011.12	-0.48	2.86	83.42	124.00	-11.12	9.89	9.89	9.89	3.88	4.87	27.44	33.10	16.635	298.225	98.424	16.814	1014.71	1
EQU	0	30/08/18	02:08:52	//	02:08:53	57.7603	7.9088	16.78	NaN	2029.70	348.30	202.20	1.34	33.49	1014.50	1011.09	-0.49	2.84	83.36	124.00	38.79	9.89	9.89	9.89	3.98	4.94	27.44	32.99	16.627	298.347	98.449	16.807	1014.70	1
EQU	0	30/08/18	02:10:24	//	02:10:25	57.7600	7.8959	16.78	NaN	2028.60	348.07	201.66	1.34	33.49	1014.40	1011.17	-0.40	2.86	85.81	124.00	110.25	9.89	9.89	9.89	4.00	4.81	27.44	32.99	16.646	298.476	98.503	16.812	1014.66	1
EQU	0	30/08/18	02:11:57	//	02:11:58	57.7598	7.8828	16.78	NaN	2027.70	347.87	201.58	1.34	33.49	1014.40	1010.87	-0.46	2.86	84.00	124.00	256.62	9.89	9.89	9.89	3.78	4.94	27.44	32.99	16.654	298.477	98.515	16.818	1014.67	1
EQU	0	30/08/18	02:13:30	//	02:13:30	57.7597	7.8698	16.80	NaN	2027.70	347.80	201.20	1.34	33.48	1014.50	1011.01	-0.44	2.87	84.74	124.00	147.21	9.89	9.89	9.89	3.96	4.94	27.44	32.99	16.653	298.373	98.499	16.827	1014.67	1
EQU	0	30/08/18	02:15:02	//	02:15:03	57.7595	7.8567	16.80	NaN	2028.10	347.93	201.95	1.34	33.47	1014.50	1011.02	-0.56	2.88	84.10	124.00	113.48	9.89	9.89	9.89	3.88	4.81	27.44	32.99	16.664	298.649	98.605	16.834	1014.74	1
EQU	0	30/08/18	02:16:35	//	02:16:36	57.7598	7.8437	16.80	NaN	2028.20	347.94	201.50	1.34	33.47	1014.50	1011.04	-0.48	2.87	86.83	124.00	-25.46	9.89	9.89	9.89	3.88	4.81	27.37	32.99	16.655	298.871	98.669	16.829	1014.66	1
EQU	0	30/08/18	02:18:08	//	02:18:08	57.7602	7.8308	16.79	NaN	2028.50	348.06	202.54	1.35	33.46	1014.40	1010.85	-0.42	2.85	85.49	124.00	-52.08	9.89	9.89	9.89	4.12	4.87	27.44	32.99	16.640	298.504	98.519	16.815	1014.58	1
EQU	0	30/08/18	02:19:40	//	02:19:41	57.7606	7.8177	16.80	NaN	2028.70	348.07	202.00	1.34	33.45	1014.40	1011.05	-0.46	2.85	84.74	124.00	-48.41	9.89	9.89	9.89	4.10	5.00	27.37	32.89	16.717	298.712	98.663	16.852	1014.65	1
EQU	0	30/08/18	02:21:14	//	02:21:15	57.7610	7.8045	16.90	NaN	2029.40	348.18	201.87	1.34	33.45	1014.50	1011.11	-0.37	2.86	85.54	124.00	-49.29	9.89	9.89	9.89	3.90	5.00	27.37	32.89	16.805	297.530	98.470	16.948	1014.77	1
EQU	0	30/08/18	02:22:47	//	02:22:48	57.7614	7.7914	16.97	NaN	2029.10	348.14	201.87	1.34	33.44	1014.40	1011.20	-0.40	2.88	85.97	124.00	-49.27	9.89	9.89	9.89	3.90	4.81	27.44	32.89	16.849	297.373	98.548	17.011	1014.66	1
EQU	0	30/08/18	02:24:19	//	02:24:20	57.7618	7.7784	16.97	NaN	2029.40	348.20	202.37	1.35	33.45	1014.50	1011.06	-0.40	2.87	84.58	124.00	-55.17	9.89	9.89	9.89	4.17	4.87	27.37	32.89	16.838	297.214	98.470	16.998	1014.62	1
EQU	0	30/08/18	02:25:52	//	02:25:53	57.7622	7.7653	16.99	NaN	2029.50	348.19	201.83	1.34	33.44	1014.50	1011.07	-0.47	2.88	85.17	124.00	-50.63	9.89	9.89	9.89	3.79	4.94	27.37	32.78	16.870	297.226	98.532	17.027	1014.71	1
EQU	0	30/08/18	02:27:25	//	02:27:25	57.7626	7.7524	17.02	NaN	2029.20	348.15	202.29	1.35	33.43	1014.40	1010.85	-0.36	2.86	85.22	124.00	-50.64	9.89	9.89	9.89	3.84	4.94	27.37	32.89	16.887	296.775	98.427	17.048	1014.67	1
EQU	0	30/08/18	02:28:57	//	02:28:58	57.7630	7.7394	17.03	NaN	2029.30	348.14	201.87	1.34	33.42	1014.50	1010.94	-0.44	2.87	84.37	124.00	-50.58	9.89	9.89	9.89	3.96	4.81	27.37	32.78	16.927	296.723	98.470	17.078	1014.58	1
EQU	0	30/08/18	02:30:30	//	02:30:30	57.7634	7.7265	17.06	NaN	2030.20	348.37	201.75	1.34	33.42	1014.40	1010.93	-0.43	2.89	85.70	124.00	-55.43	9.89	9.89	9.89	4.23	4.87	27.37	32.78	16.918	296.625	98.476	17.097	1014.60	1
EQU	0	30/08/18	02:32:02	//	02:32:03	57.7637	7.7136	17.05	NaN	2031.10	348.56	201.58	1.34	33.41	1014.40	1010.98	-0.49	2.87	85.43	124.00	-55.44	9.89	9.89	9.89	3.90	4.94	27.44	32.78	16.887	296.638	98.428	17.071	1014.62	1
EQU	0	30/08/18	02:33:35	//	02:33:36	57.7641	7.7006	17.05	NaN	2030.70	348.46	202.25	1.34	33.41	1014.40	1011.02	-0.38	2.88	83.21	124.00	-55.15	9.89	9.89	9.89	3.68	4.87	27.37	32.68	16.948	296.860	98.553	17.096	1014.65	1
EQU	0	30/08/18	02:35:08	//	02:35:08	57.7644	7.6877	17.07	NaN	2031.00	348.50	202.33	1.35	33.40	1014.50	1011.11	-0.45	2.89	84.05	124.00	-53.43	9.89	9.89	9.89	3.88	4.81	27.37	32.68	16.884	296.463	98.414	17.093	1014.67	1
EQU	0	30/08/18	02:36:40	//	02:36:41	57.7647	7.6748	17.01	NaN	2031.10	348.52	202.04	1.34	33.39	1014.40	1010.88	-0.45	2.86	85.65	124.00	-51.82	9.89	9.89	9.89	3.98	4.94	27.37	32.68	16.871	296.698	98.379	17.037	1014.68	1
EQU	0	30/08/18	02:38:14	//	02:38:15	57.7651	7.6616	17.02	NaN	2028.80	348.02	201.70	1.34	33.39	1014.40	1010.86	-0.47	2.87	84.85	124.00	-53.22	9.89	9.89	9.89	3.86	4.75	27.37	32.57	16.886	296.941	98.502	17.058	1014.57	1
EQU	0	30/08/18	02:39:47	//	02:39:48	57.7655	7.6487	17.02	NaN	2028.20	347.87	201.54	1.34	33.39	1014.40	1010.88	-0.47	2.88	85.33	124.00	-54.34	9.89	9.89	9.89	4.10	4.69	27.37	32.57	16.888	296.751	98.435	17.056	1014.58	1
